prodcom_code,sector,product_label,cn8_codes,official_units,n_cn8_codes,all_cn8_unique_to_product,quantity_years,quantity_valid_years,quantity_units,confidential_flag_years,label_variants,one_cn_or_grouped_cn8,official_kg_unit,annual_kg_stable,complete_15y_quantity,no_confidential_quantity_flags,eligible_strict_match,cn8_codes_joined,official_units_joined
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %","['48026115', '48026180', '48026200', '48026900']",['KG'],4,True,15,15,['KG'],0,1,True,True,True,True,True,True,48026115|48026180|48026200|48026900,KG
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",['48030010'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48030010,KG
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",['48030031'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48030031,KG
17122057,C17,"Creped paper and webs of cellulose fibres for household/sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight > 25 g/m²/ply",['48030039'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48030039,KG
17122090,C17,Paper stock for household : others,['48030090'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48030090,KG
17123100,C17,"Uncoated, unbleached kraftliner in rolls or sheets (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)","['48041111', '48041115', '48041119', '48041190']",['KG'],4,True,15,15,['KG'],0,1,True,True,True,True,True,True,48041111|48041115|48041119|48041190,KG
17123200,C17,"Uncoated kraftliner in rolls or sheets (excluding unbleached, for writing; printing or other graphic purposes, punch card stock and punch card tape paper","['48041912', '48041919', '48041930', '48041990']",['KG'],4,True,15,15,['KG'],0,1,True,True,True,True,True,True,48041912|48041919|48041930|48041990,KG
17123300,C17,Semi-chemical fluting,['48051100'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48051100,KG
17123400,C17,Recycled fluting and other fluting,"['48051200', '48051910', '48051990']",['KG'],3,True,15,15,['KG'],0,1,True,True,True,True,True,True,48051200|48051910|48051990,KG
17123520,C17,"Uncoated testliner (recycled liner board), weight <= 150 g/m², in rolls or sheets",['48052400'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48052400,KG
17123540,C17,"Uncoated testliner (recycled liner board), weight > 150 g/m², in rolls or sheets",['48052500'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48052500,KG
17124120,C17,"Uncoated, unbleached sack kraft paper (excluding for writing, printing or other graphic purposes, punch card stock and punch card tape paper)","['48042110', '48042190']",['KG'],2,True,15,15,['KG'],0,1,True,True,True,True,True,True,48042110|48042190,KG
17124140,C17,"Uncoated sack kraft paper (excluding unbleached, for writing, printing or other graphic purposes, punch card stock and punch card tape paper)","['48042910', '48042990']",['KG'],2,True,15,15,['KG'],0,1,True,True,True,True,True,True,48042910|48042990,KG
17124160,C17,"Uncoated kraft paper and paperboard weighing <= 150 g/m² (excluding kraftliner, sack kraft paper, for writing, printing and other graphic purposes, etc.)","['48043151', '48043158', '48043180', '48043951', '48043958', '48043980']",['KG'],6,True,15,15,['KG'],0,1,True,True,True,True,True,True,48043151|48043158|48043180|48043951|48043958|48043980,KG
17124180,C17,Creped or crinkled sack kraft paper; in rolls or sheets,['48084000'],['KG'],1,False,15,15,['KG'],0,1,False,True,True,True,True,False,48084000,KG
