cn8_code,year,extra_eu_import_quantity_100kg
73041100,2008,70685.07
73041100,2009,43984.57
73041100,2010,53241.9
73041100,2011,39901.12
73041100,2012,53918.11
73041100,2013,170892.36
73041100,2014,80160.52
73041100,2015,87013.78
73041100,2016,59507.15
73041100,2017,41791.78
73041100,2018,40801.55
73041100,2019,40203.09
73041100,2020,25953.83
73041100,2021,21262.8
73041100,2022,25628.66
73041910,2008,799679.34
73041910,2009,319842.65
73041910,2010,247112.78
73041910,2011,255016.51
73041910,2012,168748.22
73041910,2013,172756.21
73041910,2014,241460.69
73041910,2015,142943.94
73041910,2016,167966.7
73041910,2017,99620.25
73041910,2018,158116.93
73041910,2019,188447.96
73041910,2020,149951.71
73041910,2021,155401.4
73041910,2022,306407.0
73041930,2008,611773.93
73041930,2009,194092.83
73041930,2010,179683.64
73041930,2011,208426.85
73041930,2012,222242.74
73041930,2013,154233.77
73041930,2014,225462.43
73041930,2015,262767.59
73041930,2016,259181.75
73041930,2017,197241.23
73041930,2018,214022.41
73041930,2019,246894.56
73041930,2020,136998.69
73041930,2021,131402.38
73041930,2022,176996.82
73041990,2008,434695.0
73041990,2009,456538.93
73041990,2010,149325.17
73041990,2011,196495.2
73041990,2012,81161.17
73041990,2013,96467.41
73041990,2014,157719.14
73041990,2015,144897.84
73041990,2016,63880.11
73041990,2017,65731.42
73041990,2018,38875.7
73041990,2019,86387.76
73041990,2020,46424.48
73041990,2021,26464.37
73041990,2022,30378.75
73042200,2008,66164.8
73042200,2009,19012.0
73042200,2010,73957.56
73042200,2011,8695.46
73042200,2012,11528.38
73042200,2013,15948.23
73042200,2014,22905.2
73042200,2015,53111.63
73042200,2016,27516.47
73042200,2017,52797.87
73042200,2018,107090.47
73042200,2019,6199.13
73042200,2020,1110.13
73042200,2021,981.68
73042200,2022,3329.76
73042300,2008,143683.1
73042300,2009,91241.27
73042300,2010,143902.47
73042300,2011,169842.34
73042300,2012,128652.74
73042300,2013,122628.81
73042300,2014,109042.16
73042300,2015,89655.2
73042300,2016,166666.13
73042300,2017,278880.09
73042300,2018,364202.05
73042300,2019,433238.43
73042300,2020,139752.08
73042300,2021,180654.53
73042300,2022,194891.42
73042400,2008,4752.42
73042400,2009,5865.15
73042400,2010,3162.24
73042400,2011,3255.9
73042400,2012,13096.57
73042400,2013,9438.82
73042400,2014,61696.31
73042400,2015,30096.49
73042400,2016,22751.93
73042400,2017,17174.2
73042400,2018,11293.84
73042400,2019,27817.06
73042400,2020,25304.44
73042400,2021,25497.8
73042400,2022,14708.5
73042910,2008,268826.05
73042910,2009,175240.45
73042910,2010,110261.01
73042910,2011,172068.55
73042910,2012,198736.98
73042910,2013,235130.55
73042910,2014,260381.12
73042910,2015,229899.09
73042910,2016,188315.98
73042910,2017,138536.98
73042910,2018,60302.7
73042910,2019,106586.22
73042910,2020,188236.9
73042910,2021,123559.62
73042910,2022,151728.17
73042930,2008,752754.69
73042930,2009,159951.57
73042930,2010,152529.01
73042930,2011,385031.85
73042930,2012,537883.91
73042930,2013,580706.82
73042930,2014,795852.97
73042930,2015,472983.66
73042930,2016,385014.77
73042930,2017,272461.49
73042930,2018,400183.75
73042930,2019,320966.11
73042930,2020,208431.57
73042930,2021,214038.21
73042930,2022,382373.14
73042990,2008,79130.0
73042990,2009,18316.0
73042990,2010,39245.56
73042990,2011,61597.66
73042990,2012,76476.61
73042990,2013,94933.51
73042990,2014,63626.16
73042990,2015,49919.04
73042990,2016,41393.27
73042990,2017,30921.64
73042990,2018,40048.84
73042990,2019,26031.86
73042990,2020,14778.68
73042990,2021,15577.82
73042990,2022,17558.44
73043120,2008,418542.96
73043120,2009,278709.78
73043120,2010,70927.61
73043120,2011,231501.99
73043120,2012,156829.37
73043120,2013,138838.91
73043120,2014,140315.33
73043120,2015,119829.92
73043120,2016,144153.88
73043120,2017,174205.85
73043120,2018,189605.17
73043120,2019,143681.78
73043120,2020,113372.4
73043120,2021,133032.24
73043120,2022,164310.72
73043180,2008,324788.65
73043180,2009,146782.8
73043180,2010,101162.86
73043180,2011,101701.6
73043180,2012,98734.48
73043180,2013,151394.05
73043180,2014,185682.82
73043180,2015,197368.61
73043180,2016,166675.86
73043180,2017,180550.85
73043180,2018,159240.02
73043180,2019,171258.97
73043180,2020,88592.39
73043180,2021,74192.88
73043180,2022,122673.7
73043950,2008,
73043950,2009,
73043950,2010,
73043950,2011,
73043950,2012,
73043950,2013,
73043950,2014,
73043950,2015,
73043950,2016,
73043950,2017,
73043950,2018,
73043950,2019,
73043950,2020,
73043950,2021,
73043950,2022,24152.94
73043982,2008,
73043982,2009,
73043982,2010,
73043982,2011,
73043982,2012,
73043982,2013,
73043982,2014,
73043982,2015,
73043982,2016,
73043982,2017,
73043982,2018,
73043982,2019,
73043982,2020,
73043982,2021,
73043982,2022,1093781.95
73043983,2008,
73043983,2009,
73043983,2010,
73043983,2011,
73043983,2012,
73043983,2013,
73043983,2014,
73043983,2015,
73043983,2016,
73043983,2017,
73043983,2018,
73043983,2019,
73043983,2020,
73043983,2021,
73043983,2022,860563.21
73043988,2008,
73043988,2009,
73043988,2010,
73043988,2011,
73043988,2012,
73043988,2013,
73043988,2014,
73043988,2015,
73043988,2016,
73043988,2017,
73043988,2018,
73043988,2019,
73043988,2020,
73043988,2021,
73043988,2022,23292.66
73044100,2008,256022.36
73044100,2009,179567.74
73044100,2010,198215.75
73044100,2011,204658.73
73044100,2012,176077.79
73044100,2013,205543.33
73044100,2014,233564.95
73044100,2015,237522.16
73044100,2016,278568.63
73044100,2017,291411.77
73044100,2018,321903.03
73044100,2019,349545.03
73044100,2020,287420.91
73044100,2021,334219.27
73044100,2022,348560.03
73044983,2008,
73044983,2009,
73044983,2010,
73044983,2011,
73044983,2012,
73044983,2013,
73044983,2014,
73044983,2015,
73044983,2016,
73044983,2017,
73044983,2018,
73044983,2019,
73044983,2020,
73044983,2021,
73044983,2022,113845.94
73044985,2008,
73044985,2009,
73044985,2010,
73044985,2011,
73044985,2012,
73044985,2013,
73044985,2014,
73044985,2015,
73044985,2016,
73044985,2017,
73044985,2018,
73044985,2019,
73044985,2020,
73044985,2021,
73044985,2022,18104.77
73044989,2008,
73044989,2009,
73044989,2010,
73044989,2011,
73044989,2012,
73044989,2013,
73044989,2014,
73044989,2015,
73044989,2016,
73044989,2017,
73044989,2018,
73044989,2019,
73044989,2020,
73044989,2021,
73044989,2022,3483.06
73045110,2008,
73045110,2009,
73045110,2010,
73045110,2011,
73045110,2012,
73045110,2013,
73045110,2014,
73045110,2015,
73045110,2016,
73045110,2017,
73045110,2018,
73045110,2019,
73045110,2020,
73045110,2021,
73045110,2022,40080.95
73045181,2008,10491.45
73045181,2009,24932.66
73045181,2010,20747.34
73045181,2011,20665.17
73045181,2012,12034.48
73045181,2013,17849.53
73045181,2014,25177.62
73045181,2015,14027.39
73045181,2016,17069.88
73045181,2017,37182.94
73045181,2018,25458.8
73045181,2019,28339.13
73045181,2020,20463.78
73045181,2021,28644.62
73045181,2022,33611.67
73045189,2008,74506.54
73045189,2009,20792.52
73045189,2010,28621.5
73045189,2011,25638.23
73045189,2012,19281.02
73045189,2013,26100.87
73045189,2014,36787.51
73045189,2015,39086.27
